746,679,579,552,224,948,398,40,398,669,567,944,224,949,66,634,746,608,909,541
209,443,312,22,194,253,312,24,312,428,250,1242,134,309,194,255,194,254,312,23
905,249,365,533,905,58,905,408,971,449,905,250,971,46,905,59,905,245,905,409
173,1189,548,218,548,346,427,412,548,227,646,369,427,148,548,221,548,642,56,340
408,1132,839,1603,894,333,839,722,834,1518,408,451,839,1322,839,1629,408,1022,834,1556
857,244,870,27,870,725,870,1029,870,1441,870,1344,870,166,870,1426,870,26,870,29
195,1632,879,1846,879,1847,195,1631,195,1634,879,1537,879,2148,879,967,473,434,195,1417
879,465,237,108,62,87,358,145,358,147,358,146,489,51,827,220,710,35,214,28
45,139,45,413,45,416,45,142,45,143,45,411,45,141,45,410,45,140,45,417
359,602,489,488,359,601,843,1040,843,915,467,1291,467,1293,843,53,467,1295,843,1165
754,72,209,376,112,1480,112,1523,112,1374,746,110,754,74,28,956,262,1313,886,692
333,1199,333,1195,333,1822,333,752,333,799,333,1819,333,1820,333,292,333,1821,333,856
10,1026,10,71,10,1277,10,1115,10,1114,10,1117,10,1152,10,639,10,1156,10,1118
557,642,669,469,545,616,442,239,557,329,557,1333,557,643,557,1159,557,641,557,216
229,433,526,636,526,698,526,699,472,524,472,748,526,1221,960,1597,960,1221,526,551
216,2436,216,1603,216,1525,216,1313,216,727,216,1916,216,839,216,2214,216,2086,216,1526
111,85,111,88,138,51,111,86,111,261,111,593,138,381,111,884,111,84,111,87
491,606,491,288,463,762,491,428,491,1056,491,1059,491,674,491,601,491,1061,491,423
851,184,851,833,851,185,851,186,982,1205,110,445,634,1614,110,543,107,18,982,1203
99,139,99,452,99,718,99,137,99,1023,99,717,99,1024,99,243,99,1022,99,21
555,565,555,691,555,609,555,774,555,848,555,686,77,1035,555,689,555,687,555,115
174,747,383,987,51,798,383,1761,51,794,51,796,383,196,174,981,524,700,312,658
620,1985,620,1263,620,1986,620,894,620,1980,620,1063,620,899,620,392,620,388,620,1878
437,823,437,727,437,725,500,1734,517,1483,47,562,437,726,500,1736,997,735,676,922
537,1023,917,886,917,887,917,817,917,242,537,1167,537,1166,537,185,537,1165,537,1379
42,1576,42,1573,260,316,42,890,42,663,260,189,42,659,42,1574,42,78,42,2177
682,987,644,367,682,1387,644,478,644,169,644,297,682,335,644,318,682,358,682,437
704,12,704,15,704,14,730,350,152,112,152,182,152,661,730,348,152,444,152,873
781,806,781,229,781,800,781,228,92,120,781,803,781,215,781,804,781,801,781,233
417,569,615,216,417,1266,615,260,615,213,417,861,615,712,615,215,615,217,615,714
781,794,459,267,781,795,434,344,781,796,492,803,933,356,240,273,497,176,326,672
644,257,644,112,644,170,644,332,644,378,644,139,644,93,644,281,644,344,644,192
845,1150,845,562,998,106,845,342,951,126,845,736,845,600,951,872,951,1297,951,1381
763,575,188,1322,500,1566,500,1562,500,1564,500,1561,500,1563,763,574,167,2276,500,1560
935,865,760,1589,560,493,640,1249,860,755,760,1591,560,699,896,600,923,1079,253,546
219,1076,219,289,219,1073,219,902,219,903,219,264,219,532,219,1184,219,262,219,364
4,542,4,253,4,254,4,55,4,252,997,495,4,540,606,742,208,640,997,936
636,689,500,50,440,142,500,493,440,1619,440,1871,500,316,500,582,500,245,500,314
760,353,760,351,760,824,524,360,760,350,760,830,760,829,760,1332,266,190,760,386
282,513,839,936,839,133,839,592,555,568,408,363,408,1073,834,340,408,246,834,315
552,283,191,53,552,282,191,378,429,22,113,21,252,845,429,875,429,877,202,195
592,160,339,1251,135,202,339,717,809,2205,170,435,339,1258,809,2204,809,1820,170,139
804,677,493,1410,202,439,68,1234,493,711,731,438,731,437,593,1291,93,721,832,1231
